"type","date","ticker","close","previous_close","percentage_close","vol","av20d","percentage_vol"
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","COMM",4.81,5.53,-0.130198915009,8130554.0,4219814.0,1.926756487371
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","SPRX",25.8,29.67,-0.130434782608,126709.0,35850.05,3.534416269991
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","ZONE",1.06,1.22,-0.131147540983,89998.0,47590.7,1.891083762163
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","YSXT",5.2,5.99,-0.131886477462,176807.0,176003.65,1.004564393977
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","NRG",97.49,112.37,-0.132419684969,5897825.0,3442610.9499999746,1.713183710172
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","BRLT",1.9,2.19,-0.132420091324,129530.0,95135.25,1.361535287919
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","ZBIO",6.705,7.73,-0.132600258732,197663.0,191033.1,1.034705503915
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","TSMY",17.12,19.74,-0.132725430597,236802.0,57902.6,4.089660913326
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","TSM",192.31,221.88,-0.133270236163,6.8483195E7,1.827279825000004E7,3.747821984517
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","NVTS",2.99,3.45,-0.133333333333,5707067.0,5016769.5,1.137598010034
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","DUOT",5.71,6.59,-0.133535660091,196085.0,166346.0,1.178777968811
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","HTOO",0.437,0.5045,-0.133795837462,651474.0,565850.15,1.151318949018
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","CONL",42.38,48.96,-0.134395424836,8140410.0,5491191.4,1.482448781515
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","AOSL",35.22,40.7,-0.134643734643,832333.0,554103.2,1.502126318707
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","SVCO",8.48,9.8,-0.134693877551,266600.0,178103.65,1.496881170037
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","GSIW",0.5852,0.6771,-0.135725889824,798990.0,458503.0,1.742605828097
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","ORCL",158.28,183.6,-0.137908496732,4.2087565E7,1.309157389999961E7,3.214859062897
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","DGLY",0.3055,0.3545,-0.138222849083,845917.0,602130.5000000007,1.404873196092
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","LU",2.49,2.89,-0.138408304498,4659978.0,2669406.300000012,1.745698285045
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","FTEL",8.97,10.43,-0.139980824544,446857.0,279712.1,1.597560491662
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","DJTWW",19.23,22.36,-0.139982110912,399768.0,231546.75,1.726510952971
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","LMBO",24.36,28.3478,-0.140674055835,5400.0,3196.05,1.689585582203
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","BITF",1.4,1.63,-0.141104294478,5.7694797E7,4.36154175E7,1.322807399470
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","ONTO",183.27,213.59,-0.141954211339,2096912.0,794330.7,2.639847610069
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","AIP",10.3,12.04,-0.144518272425,412481.0,362007.35,1.139427141465
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","DNN",1.735,2.03,-0.145320197044,5.147656E7,2.97292173E7,1.731514135758
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","RGC",4.1,4.7985,-0.145566322809,479834.0,28975.7,16.559876034056
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","BOWNU",7.25,8.49,-0.146054181389,20901.0,20240.55,1.032630042167
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","AIRJW",1.0051,1.18,-0.148220338983,29362.0,22423.8,1.309412320837
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","TEKX",28.2139,33.1319,-0.148437004820,1511.0,804.25,1.878769039477
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","CENX",16.695,19.64,-0.149949083503,2843905.0,1092665.9,2.602721472318
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","LTRN",4.59,5.4,-0.150000000000,473529.0,164021.1,2.887000513958
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","LEU",78.19,92.0,-0.150108695652,1893285.0,746940.2,2.534720985696
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","AAON",112.7,132.71,-0.150779896013,1792749.0,588636.3499999993,3.045596827311
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","FLR",46.34,54.57,-0.150815466373,6043096.0,2368797.8,2.551123612154
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","CAMT",85.51,100.75,-0.151265508684,1654401.0,542388.25,3.050215413036
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","SSSS",5.355,6.31,-0.151347068145,613397.0,211073.0,2.906089362448
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","SDSTW",0.14,0.165,-0.151515151515,35569.0,9588.95,3.709373810479
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","CCJ",47.51,56.0,-0.151607142857,1.4240227E7,4294450.550000004,3.315960175627
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","MTSI",122.31,144.17,-0.151626551987,1232222.0,599187.05,2.056489705510
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","SOXM",20.369,24.03,-0.152351227632,18467.0,5603.1,3.295854080776
