number,ticker,cap,name,industry,sector
823,UGI,6.30B,UGI Corporation,Utilities - Regulated Gas,Utilities
824,JOBY,6.27B,"Joby Aviation, Inc.",Airports & Air Services,Industrials
825,CIG,6.24B,Companhia Energética de Minas Gerais - CEMIG,Utilities - Diversified,Utilities
826,KBH,6.24B,KB Home,Residential Construction,Consumer Discretionary
827,TEO,6.23B,Telecom Argentina S.A.,Telecom Services,Communication Services
828,FNB,6.22B,F.N.B. Corporation,Banks - Regional,Financials
829,CBT,6.18B,Cabot Corporation,Specialty Chemicals,Materials
830,ESNT,6.17B,Essent Group Ltd.,Insurance - Specialty,Financials
831,CLF,6.17B,Cleveland-Cliffs Inc.,Steel,Materials
832,FSK,6.16B,FS KKR Capital Corp.,Asset Management,Financials
833,KRG,6.14B,Kite Realty Group Trust,REIT - Retail,Real Estate
834,THO,6.14B,"THOR Industries, Inc.",Recreational Vehicles,Consumer Discretionary
835,TAL,6.12B,TAL Education Group,Education & Training Services,Consumer Staples
836,FG,6.11B,"F&G Annuities & Life, Inc.",Insurance - Life,Financials
837,SLGN,6.10B,Silgan Holdings Inc.,Packaging & Containers,Consumer Discretionary
838,TRNO,6.09B,Terreno Realty Corporation,REIT - Industrial,Real Estate
839,LNC,6.08B,Lincoln National Corporation,Insurance - Life,Financials
840,ICL,6.08B,ICL Group Ltd,Agricultural Inputs,Materials
841,W,6.05B,Wayfair Inc.,Internet Retail,Consumer Discretionary
842,AMTM,6.04B,"Amentum Holdings, Inc.",Specialty Business Services,Industrials
843,CNX,6.03B,CNX Resources Corporation,Oil & Gas Exploration & Production,Energy
844,PVH,6.01B,PVH Corp.,Apparel Manufacturing,Consumer Discretionary
845,SKY,5.98B,"Champion Homes, Inc.",Residential Construction,Consumer Discretionary
846,INSP,5.97B,"Inspire Medical Systems, Inc.",Medical Devices,Healthcare
847,FSS,5.96B,Federal Signal Corporation,Pollution & Treatment Controls,Industrials
848,MC,5.95B,Moelis & Company,Capital Markets,Financials
849,EPRT,5.95B,"Essential Properties Realty Trust, Inc.",REIT - Diversified,Real Estate
850,BE,5.93B,Bloom Energy Corporation,Electrical Equipment & Parts,Industrials
851,OBDC,5.93B,Blue Owl Capital Corporation,Asset Management,Financials
852,GATX,5.89B,GATX Corporation,Rental & Leasing Services,Industrials
853,KNF,5.89B,Knife River Corporation,Building Materials,Materials
854,TKC,5.88B,Turkcell Iletisim Hizmetleri A.S.,Telecom Services,Communication Services
855,VNT,5.86B,Vontier Corporation,Scientific & Technical Instruments,Technology
856,BCC,5.86B,Boise Cascade Company,Building Materials,Materials
857,NFG,5.85B,National Fuel Gas Company,Oil & Gas Integrated,Energy
858,THG,5.83B,"The Hanover Insurance Group, Inc.",Insurance - Property & Casualty,Financials
859,EAT,5.82B,"Brinker International, Inc.",Restaurants,Consumer Discretionary
860,AL,5.81B,Air Lease Corporation,Rental & Leasing Services,Industrials
861,NSA,5.80B,National Storage Affiliates Trust,REIT - Industrial,Real Estate
862,RITM,5.80B,Rithm Capital Corp.,REIT - Mortgage,Real Estate
863,ZK,5.78B,ZEEKR Intelligent Technology Holding Limited,Auto Manufacturers,Consumer Discretionary
864,HMY,5.74B,Harmony Gold Mining Company Limited,Gold,Materials
865,ALTM,5.72B,Arcadium Lithium plc,Specialty Chemicals,Materials
866,AMG,5.72B,"Affiliated Managers Group, Inc.",Asset Management,Financials
867,BMA,5.71B,Banco Macro S.A.,Banks - Regional,Financials
868,SWX,5.68B,"Southwest Gas Holdings, Inc.",Utilities - Regulated Gas,Utilities
869,BC,5.66B,Brunswick Corporation,Recreational Vehicles,Consumer Discretionary
870,GTES,5.64B,Gates Industrial Corporation plc,Specialty Industrial Machinery,Industrials
871,GPI,5.63B,"Group 1 Automotive, Inc.",Auto & Truck Dealerships,Consumer Discretionary
872,DNB,5.63B,"Dun & Bradstreet Holdings, Inc.",Financial Data & Stock Exchanges,Financials
873,CTRE,5.63B,"CareTrust REIT, Inc.",REIT - Healthcare Facilities,Real Estate
874,SNDR,5.61B,"Schneider National, Inc.",Trucking,Industrials
875,PIPR,5.56B,Piper Sandler Companies,Capital Markets,Financials
876,MGY,5.54B,Magnolia Oil & Gas Corporation,Oil & Gas Exploration & Production,Energy
877,WHD,5.53B,"Cactus, Inc.",Oil & Gas Equipment & Services,Energy
878,PFSI,5.53B,"PennyMac Financial Services, Inc.",Mortgage Finance,Financials
879,NE,5.50B,Noble Corporation plc,Oil & Gas Drilling,Energy
880,SHAK,5.50B,Shake Shack Inc.,Restaurants,Consumer Discretionary
881,MSGS,5.49B,Madison Square Garden Sports Corp.,Entertainment,Communication Services
882,USM,5.49B,United States Cellular Corporation,Telecom Services,Communication Services
883,LEA,5.49B,Lear Corporation,Auto Parts,Consumer Discretionary
884,BBU,5.46B,Brookfield Business Partners L.P.,Conglomerates,Industrials
885,CWEN.A,5.46B,"Clearway Energy, Inc.",Utilities - Renewable,Utilities
886,TKR,5.45B,The Timken Company,Tools & Accessories,Industrials
887,WK,5.45B,Workiva Inc.,Software - Application,Technology
888,ACA,5.44B,"Arcosa, Inc.",Engineering & Construction,Industrials
889,STVN,5.44B,Stevanato Group S.p.A.,Medical Instruments & Supplies,Healthcare
890,SOBO,5.41B,South Bow Corporation,-,-
891,SFBS,5.40B,"ServisFirst Bancshares, Inc.",Banks - Regional,Financials
892,LAZ,5.40B,"Lazard, Inc.",Capital Markets,Financials
893,LB,5.38B,LandBridge Company LLC,Oil & Gas Equipment & Services,Energy
894,VIST,5.36B,"Vista Energy, S.A.B. de C.V.",Oil & Gas Exploration & Production,Energy
895,CNS,5.34B,"Cohen & Steers, Inc.",Asset Management,Financials
896,SEE,5.33B,Sealed Air Corporation,Packaging & Containers,Consumer Discretionary
897,CRC,5.32B,California Resources Corporation,Oil & Gas Exploration & Production,Energy
898,DY,5.30B,"Dycom Industries, Inc.",Engineering & Construction,Industrials
899,RDN,5.28B,Radian Group Inc.,Insurance - Specialty,Financials
900,ABG,5.23B,"Asbury Automotive Group, Inc.",Auto & Truck Dealerships,Consumer Discretionary
901,NEU,5.22B,NewMarket Corporation,Specialty Chemicals,Materials
902,MNSO,5.21B,MINISO Group Holding Limited,Specialty Retail,Consumer Discretionary
903,INGM,5.20B,Ingram Micro Holding Corporation,Information Technology Services,Technology
904,MATX,5.18B,"Matson, Inc.",Marine Shipping,Industrials
905,SLG,5.18B,SL Green Realty Corp.,REIT - Office,Real Estate
906,KTB,5.17B,"Kontoor Brands, Inc.",Apparel Manufacturing,Consumer Discretionary
907,SM,5.16B,SM Energy Company,Oil & Gas Exploration & Production,Energy
908,LTH,5.11B,"Life Time Group Holdings, Inc.",Leisure,Consumer Discretionary
909,NJR,5.11B,New Jersey Resources Corporation,Utilities - Regulated Gas,Utilities
910,BOX,5.11B,"Box, Inc.",Software - Infrastructure,Technology
911,WTM,5.10B,"White Mountains Insurance Group, Ltd.",Insurance - Property & Casualty,Financials
912,SON,5.10B,Sonoco Products Company,Packaging & Containers,Consumer Discretionary
913,FLG,5.10B,"Flagstar Financial, Inc.",Banks - Regional,Financials
914,SG,5.09B,"Sweetgreen, Inc.",Restaurants,Consumer Discretionary
915,OLN,5.08B,Olin Corporation,Chemicals,Materials
916,HXL,5.07B,Hexcel Corporation,Aerospace & Defense,Industrials
917,VVV,5.07B,Valvoline Inc.,Auto & Truck Dealerships,Consumer Discretionary
918,POR,5.07B,Portland General Electric Company,Utilities - Regulated Electric,Utilities
919,ZETA,5.05B,Zeta Global Holdings Corp.,Software - Infrastructure,Technology
920,CUZ,5.04B,Cousins Properties Incorporated,REIT - Office,Real Estate
921,BDC,5.04B,Belden Inc.,Communication Equipment,Technology
922,ST,5.02B,Sensata Technologies Holding plc,Scientific & Technical Instruments,Technology
923,IRT,5.01B,"Independence Realty Trust, Inc.",REIT - Residential,Real Estate
924,NXE,5.01B,NexGen Energy Ltd.,Uranium,Energy
925,PAM,5.01B,Pampa Energía S.A.,Utilities - Independent Power Producers,Utilities
926,CIVI,5.01B,"Civitas Resources, Inc.",Oil & Gas Exploration & Production,Energy
927,KRC,5.01B,Kilroy Realty Corporation,REIT - Office,Real Estate
928,SEM,4.99B,Select Medical Holdings Corporation,Medical Care Facilities,Healthcare
929,ABCB,4.98B,Ameris Bancorp,Banks - Regional,Financials
930,ORA,4.96B,"Ormat Technologies, Inc.",Utilities - Renewable,Utilities
931,AX,4.94B,"Axos Financial, Inc.",Banks - Regional,Financials
932,TGS,4.93B,Transportadora de Gas del Sur S.A.,Oil & Gas Integrated,Energy
933,KAI,4.92B,Kadant Inc.,Specialty Industrial Machinery,Industrials
934,RXO,4.89B,"RXO, Inc.",Trucking,Industrials
935,MSM,4.86B,"MSC Industrial Direct Co., Inc.",Industrial Distribution,Industrials
936,AVNT,4.86B,Avient Corporation,Specialty Chemicals,Materials
937,MUR,4.83B,Murphy Oil Corporation,Oil & Gas Exploration & Production,Energy
938,AGO,4.82B,Assured Guaranty Ltd.,Insurance - Specialty,Financials
939,AI,4.81B,"C3.ai, Inc.",Software - Application,Technology
940,MAIN,4.81B,Main Street Capital Corporation,Asset Management,Financials
941,FLO,4.79B,"Flowers Foods, Inc.",Packaged Foods,Consumer Staples
942,MAC,4.78B,The Macerich Company,REIT - Retail,Real Estate
943,RYN,4.77B,Rayonier Inc.,REIT - Specialty,Real Estate
944,PHI,4.76B,PLDT Inc.,Telecom Services,Communication Services
945,PAY,4.71B,"Paymentus Holdings, Inc.",Software - Infrastructure,Technology
946,ITGR,4.71B,Integer Holdings Corporation,Medical Devices,Healthcare
947,TNET,4.66B,"TriNet Group, Inc.",Staffing & Employment Services,Industrials
948,SMG,4.64B,The Scotts Miracle-Gro Company,Agricultural Inputs,Materials
949,BKH,4.63B,Black Hills Corporation,Utilities - Regulated Gas,Utilities
950,KMPR,4.61B,Kemper Corporation,Insurance - Property & Casualty,Financials
951,MHO,4.60B,"M/I Homes, Inc.",Residential Construction,Consumer Discretionary
952,ELP,4.59B,Companhia Paranaense de Energia - COPEL,Utilities - Diversified,Utilities
953,ELPC,4.59B,Companhia Paranaense de Energia - COPEL,Utilities - Diversified,Utilities
954,SIG,4.59B,Signet Jewelers Limited,Luxury Goods,Consumer Discretionary
955,FUN,4.59B,Six Flags Entertainment Corporation,Leisure,Consumer Discretionary
956,BHVN,4.57B,Biohaven Ltd.,Biotechnology,Healthcare
957,LRN,4.55B,"Stride, Inc.",Education & Training Services,Consumer Staples
958,CRK,4.53B,"Comstock Resources, Inc.",Oil & Gas Exploration & Production,Energy
959,AHR,4.52B,"American Healthcare REIT, Inc.",REIT - Healthcare Facilities,Real Estate
960,GOLF,4.51B,Acushnet Holdings Corp.,Leisure,Consumer Discretionary
961,PRIM,4.51B,Primoris Services Corporation,Engineering & Construction,Industrials
962,OGS,4.46B,"ONE Gas, Inc.",Utilities - Regulated Gas,Utilities
963,GBTG,4.45B,"Global Business Travel Group, Inc.",Software - Application,Technology
964,AROC,4.45B,"Archrock, Inc.",Oil & Gas Equipment & Services,Energy
965,HAE,4.44B,Haemonetics Corporation,Medical Instruments & Supplies,Healthcare
966,BOOT,4.44B,"Boot Barn Holdings, Inc.",Apparel Retail,Consumer Discretionary
967,TXNM,4.44B,"TXNM Energy, Inc.",Utilities - Regulated Electric,Utilities
968,MMS,4.43B,"Maximus, Inc.",Specialty Business Services,Industrials
969,ASB,4.42B,Associated Banc-Corp,Banks - Regional,Financials
970,M,4.42B,"Macy's, Inc.",Department Stores,Consumer Discretionary
971,AUB,4.40B,Atlantic Union Bankshares Corporation,Banks - Regional,Financials
972,HOG,4.39B,"Harley-Davidson, Inc.",Recreational Vehicles,Consumer Discretionary
973,HGV,4.36B,Hilton Grand Vacations Inc.,Resorts & Casinos,Consumer Discretionary
974,BCO,4.34B,The Brink's Company,Security & Protection Services,Industrials
975,GVA,4.33B,Granite Construction Incorporated,Engineering & Construction,Industrials
976,ALIT,4.31B,"Alight, Inc.",Software - Application,Technology
977,MCY,4.31B,Mercury General Corporation,Insurance - Property & Casualty,Financials
978,NOG,4.30B,"Northern Oil and Gas, Inc.",Oil & Gas Exploration & Production,Energy
979,HHH,4.28B,Howard Hughes Holdings Inc.,Real Estate - Diversified,Real Estate
980,FUL,4.26B,H.B. Fuller Company,Specialty Chemicals,Materials
981,SR,4.24B,Spire Inc.,Utilities - Regulated Gas,Utilities
982,UAA,4.24B,"Under Armour, Inc.",Apparel Manufacturing,Consumer Discretionary
983,FRO,4.24B,Frontline plc,Oil & Gas Midstream,Energy
984,SKT,4.23B,Tanger Inc.,REIT - Retail,Real Estate
985,PBH,4.18B,Prestige Consumer Healthcare Inc.,Drug Manufacturers - Specialty & Generic,Healthcare
986,TPH,4.18B,"Tri Pointe Homes, Inc.",Residential Construction,Consumer Discretionary
987,OGN,4.16B,Organon & Co.,Drug Manufacturers - General,Healthcare
988,CNO,4.16B,"CNO Financial Group, Inc.",Insurance - Life,Financials
989,OSCR,4.16B,"Oscar Health, Inc.",Healthcare Plans,Healthcare
990,UCB,4.14B,"United Community Banks, Inc.",Banks - Regional,Financials
991,KFY,4.13B,Korn Ferry,Staffing & Employment Services,Industrials
992,MDU,4.10B,"MDU Resources Group, Inc.",Conglomerates,Industrials
993,CBZ,4.10B,"CBIZ, Inc.",Specialty Business Services,Industrials
994,BWMX,4.10B,"Betterware de México, S.A.P.I. de C.V.",Specialty Retail,Consumer Discretionary
995,GHC,4.09B,Graham Holdings Company,Education & Training Services,Consumer Staples
996,DXC,4.09B,DXC Technology Company,Information Technology Services,Technology
997,JWN,4.09B,"Nordstrom, Inc.",Department Stores,Consumer Discretionary
998,GMS,4.08B,GMS Inc.,Building Products & Equipment,Industrials
999,CLVT,4.08B,Clarivate Plc,Information Technology Services,Technology
1000,GFF,4.07B,Griffon Corporation,Conglomerates,Industrials
1001,REZI,4.07B,"Resideo Technologies, Inc.",Industrial Distribution,Industrials
1002,UA,4.05B,"Under Armour, Inc.",Apparel Manufacturing,Consumer Discretionary
1003,ASGN,4.04B,ASGN Incorporated,Information Technology Services,Technology
1004,MWA,4.02B,"Mueller Water Products, Inc.",Specialty Industrial Machinery,Industrials
1005,AB,4.00B,AllianceBernstein Holding L.P.,Asset Management,Financials
1006,CNK,3.99B,"Cinemark Holdings, Inc.",Entertainment,Communication Services
1007,NNI,3.98B,"Nelnet, Inc.",Credit Services,Financials
1008,PII,3.97B,Polaris Inc.,Recreational Vehicles,Consumer Discretionary
1009,NPO,3.97B,Enpro Inc.,Specialty Industrial Machinery,Industrials
